
105年10月07日當日沖銷交易標的
證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
0050  ,元大台灣50          ,   
0051  ,元大中型100         ,   
0052  ,FB科技              ,   
0053  ,元大電子            ,   
0054  ,元大台商50          ,   
0055  ,元大MSCI金融        ,   
0056  ,元大高股息          ,   
0057  ,FB摩台              ,   
0058  ,FB發達              ,   
0059  ,FB金融              ,   
0061  ,元大寶滬深          ,   
006203,元大MSCI台灣        ,   
006204,永豐臺灣加權        ,   
006205,FB上証              ,   
006206,元大上證50          ,   
006207,FH滬深              ,   
006208,FB台50              ,   
00631L,元大台灣50正2       ,   
00632R,元大台灣50反1       ,   
00633L,FB上証正2           ,   
00634R,FB上証反1           ,   
00635U,元大S&P黃金         ,   
00636 ,國泰中國A50         ,   
00637L,元大滬深300正2      ,   
00638R,元大滬深300反1      ,   
00639 ,FB深100             ,   
00640L,FB日本正2           ,   
00641R,FB日本反1           ,   
00642U,元大S&P石油         ,   
00643 ,群益深証中小        ,   
00645 ,FB日本              ,   
00646 ,元大S&P500          ,   
00647L,元大S&P500正2       ,   
00648R,元大S&P500反1       ,   
00649 ,FH香港              ,   
00650L,FH香港正2           ,   
00651R,FH香港反1           ,   
00652 ,FB印度              ,   
00653L,FB印度正2           ,   
00654R,FB印度反1           ,   
00655L,國泰中國A50正2      ,   
00656R,國泰中國A50反1      ,   
00657 ,國泰日經225         ,   
00658L,國泰日本正2         ,   
00659R,國泰日本反1         ,   
00660 ,元大歐洲50          ,   
00661 ,元大日經225         ,   
00662 ,FB NASDAQ           ,   
00663L,國泰臺灣加權正2     ,   
00664R,國泰臺灣加權反1     ,   
00665L,FB H股正2           ,   
00666R,FB H股反1           ,   
00667 ,元大韓國            ,   
00672L,元大S&P原油正2      ,   
00673R,元大S&P原油反1      ,   
00674R,元大S&P黃金反1      ,   
00675L,FB臺灣加權正2       ,   
00676R,FB臺灣加權反1       ,   
008201,BP上證50            ,   
1101  ,台泥                ,   
1102  ,亞泥                ,   
1103  ,嘉泥                ,   
1104  ,環泥                ,   
1108  ,幸福                ,   
1109  ,信大                ,   
1110  ,東泥                ,   
1201  ,味全                ,   
1203  ,味王                ,   
1210  ,大成                ,   
1213  ,大飲                ,   
1215  ,卜蜂                ,   
1216  ,統一                ,   
1217  ,愛之味              ,   
1218  ,泰山                ,   
1219  ,福壽                ,   
1220  ,台榮                ,   
1225  ,福懋油              ,   
1227  ,佳格                ,   
1229  ,聯華                ,   
1231  ,聯華食              ,   
1232  ,大統益              ,   
1233  ,天仁                ,   
1234  ,黑松                ,   
1235  ,興泰                ,   
1236  ,宏亞                ,   
1262  ,綠悅-KY             ,   
1301  ,台塑                ,   
1303  ,南亞                ,   
1304  ,台聚                ,   
1305  ,華夏                ,   
1307  ,三芳                ,   
1308  ,亞聚                ,   
1309  ,台達化              ,   
1310  ,台苯                ,   
1312  ,國喬                ,   
1313  ,聯成                ,   
1314  ,中石化              ,   
1315  ,達新                ,   
1319  ,東陽                ,   
1321  ,大洋                ,   
1323  ,永裕                ,   
1324  ,地球                ,   
1325  ,恆大                ,   
1326  ,台化                ,   
1337  ,再生-KY             ,   
1338  ,廣華-KY             ,   
1339  ,昭輝                ,   
1340  ,勝悅-KY             ,   
1402  ,遠東新              ,   
1409  ,新纖                ,   
1410  ,南染                ,   
1414  ,東和                ,   
1417  ,嘉裕                ,   
1419  ,新紡                ,   
1423  ,利華                ,   
1432  ,大魯閣              ,   
1434  ,福懋                ,   
